OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2022-02-25T09:21:43.178112,14.03104886,.0583829,30.3561,87.3590,153.7786,209.3627,0,U,694,999,92355,.61918E-4,.577E-5,0
THOR AGENA D R/B,1964-002A,2022-02-24T19:27:48.830112,14.32490980,.0032905,98.9859,340.9126,231.0939,128.7308,0,U,733,999,2718,.4473E-4,.74E-6,0
SL-3 R/B,1964-053B,2022-02-25T11:17:06.792000,14.59481099,.0061651,65.0794,322.7921,172.1371,188.0710,0,U,877,999,5167,.26337E-4,.7E-7,0
SL-8 R/B,1967-045B,2022-02-24T21:10:34.039488,14.43866124,.0067143,74.0115,216.0661,219.0883,140.5413,0,U,2802,999,87623,.50459E-4,.148E-5,0
SL-8 R/B,1968-040B,2022-02-25T10:18:44.128224,14.91068940,.0031666,74.0353,50.3471,265.7199,94.0365,0,U,3230,999,89092,.91126E-4,.871E-5,0
OAO 2,1968-110A,2022-02-24T21:40:37.049376,14.45920397,.0006405,34.9926,203.4804,274.0597,85.9361,0,U,3597,999,80606,.2808E-4,.82E-6,0
ISIS 1,1969-009A,2022-02-24T16:14:12.358752,11.29525546,.1711616,88.4279,318.2657,182.4536,176.7189,0,U,3669,999,18206,.5247E-5,.2E-6,0
SERT 2,1970-009A,2022-02-24T22:49:50.210976,13.58509932,.0004603,99.1305,72.7356,350.5017,66.7993,0,U,4327,999,57977,.46124E-4,-.7E-7,0
SL-3 R/B,1970-113B,2022-02-24T21:46:27.391872,15.38338762,.0021482,81.1414,134.0110,302.3467,57.5693,0,U,4814,999,79794,.12688E-3,.486E-4,0
SL-3 R/B,1971-028B,2022-02-24T21:14:49.037856,15.15704487,.0044419,81.2579,346.8281,296.7880,62.8807,0,U,5118,999,76329,.14583E-3,.2872E-4,0
ASTEX 1,1971-089A,2022-02-25T11:21:41.387616,14.48208094,.001685,92.7137,36.0363,17.9896,342.1901,0,U,5560,999,64920,.65445E-4,.243E-5,0
SL-8 R/B,1971-119B,2022-02-24T21:55:21.864864,14.06616888,.0680786,73.8959,338.7899,242.5470,110.4879,0,U,5730,999,44618,.15195E-3,.2391E-4,0
COSMOS 482 DESCENT CRAFT,1972-023E,2022-02-25T10:31:41.857824,13.43316326,.1201802,52.0298,47.3180,184.6464,174.2399,0,U,6073,999,58405,.14548E-3,.40998E-3,.62809E-5
OAO 3 (COPERNICUS),1972-065A,2022-02-25T08:18:47.554272,14.58036542,.0006645,35.0078,36.7937,3.0827,143.6970,0,U,6153,999,63118,.3306E-4,.133E-5,0
ATLAS CENTAUR R/B,1972-065B,2022-02-24T22:08:47.618304,14.71822307,.0038555,35.0030,257.1627,271.4491,88.1791,0,U,6155,999,62363,.50988E-4,.305E-5,0
SL-8 R/B,1975-112B,2022-02-25T10:58:50.347488,14.36885976,.0016892,74.0614,205.6936,303.5474,56.4065,0,U,8459,999,42039,.45101E-4,.107E-5,0
SL-3 R/B,1977-057B,2022-02-25T09:33:59.568768,15.18334238,.001496,97.3899,198.5012,92.4732,267.8215,0,U,10114,999,44350,.77507E-4,.1528E-4,0
SEASAT 1,1978-064A,2022-02-25T11:04:03.340992,14.43946884,.0001272,107.9963,282.2061,296.0950,64.0064,0,U,10967,999,29402,.42201E-4,.7E-7,0
METEOR 1-29,1979-005A,2022-02-24T21:14:31.185024,15.41863575,.0016269,97.7154,19.7000,75.0061,285.2985,0,U,11251,999,90355,.13223E-3,.554E-4,0
SL-14 R/B,1979-011B,2022-02-24T17:04:13.144800,14.89097768,.0015372,82.5231,51.4600,292.6824,67.2769,0,U,11267,999,30924,.25833E-4,.269E-5,0
SL-8 R/B,1979-089B,2022-02-25T09:32:38.655168,14.40852050,.0015073,74.0695,294.4466,125.0795,235.1777,0,U,11574,999,22401,.26492E-4,.59E-6,0
SL-14 R/B,1980-005B,2022-02-24T15:11:36.134304,14.88122306,.0017497,82.5125,261.8500,32.5490,327.6803,0,U,11672,999,25708,.20726E-4,.216E-5,0
SL-8 R/B,1981-003B,2022-02-24T20:49:09.465024,14.60622759,.0449589,82.9509,153.3521,46.6019,317.1707,0,U,12139,999,9645,.17534E-3,.3858E-4,0
SL-3 R/B,1981-046B,2022-02-24T21:37:14.824128,15.15467247,.0033364,81.2422,213.7848,351.4665,8.5991,0,U,12465,999,21376,.85959E-4,.1674E-4,0
METEOR PRIRODA,1981-065A,2022-02-25T10:15:53.494272,15.23141228,.0014203,97.5845,60.0736,162.1040,198.0699,0,U,12585,999,22293,.1083E-3,.2489E-4,0
SL-3 R/B,1981-103B,2022-02-25T03:26:26.043072,15.06349015,.0028312,81.1755,116.7372,178.9670,181.1618,0,U,12904,999,75074,.23871E-4,.378E-5,0
SL-3 R/B,1982-013B,2022-02-24T20:43:12.858528,15.07967486,.002261,81.2007,64.7878,60.5940,299.7537,0,U,13068,999,18139,.21039E-4,.349E-5,0
SL-3 R/B,1982-039B,2022-02-24T21:26:03.788160,14.99168700,.0040959,81.1810,94.6287,109.2236,251.3422,0,U,13154,999,16014,.46084E-4,.593E-5,0
SL-3 R/B,1982-079B,2022-02-25T09:36:53.619840,15.07788376,.0034071,81.1657,104.3663,24.9124,335.3735,0,U,13403,999,15491,.936E-4,.1474E-4,0
COSMOS 1408,1982-092A,2022-02-25T02:29:59.561376,15.31763686,.0028438,82.5743,21.4646,142.7078,217.6146,0,U,13552,999,15875,.12781E-3,.4005E-4,0
SL-14 R/B,1982-092B,2022-02-25T00:47:54.538368,14.84336632,.0022393,82.5657,77.0976,137.5390,280.6164,0,U,13553,999,13125,.16858E-4,.167E-5,0
SL-3 R/B,1983-010B,2022-02-25T03:21:01.382112,15.16703042,.0031854,81.1165,316.7909,20.1299,340.1177,0,U,13819,999,13334,.94466E-4,.1899E-4,0
COSMOS 1455,1983-037A,2022-02-25T10:03:05.008608,15.19693516,.0017703,82.5163,191.7133,76.3805,283.9400,0,U,14032,999,12145,.12204E-3,.2647E-4,0
SL-3 R/B,1983-075B,2022-02-25T11:06:54.237600,15.11969997,.0037398,97.4699,33.9227,339.4305,20.5418,0,U,14208,999,10637,.10726E-3,.1804E-4,0
COSMOS 1500,1983-099A,2022-02-24T16:15:26.118432,15.20212825,.0013096,82.5124,87.4353,235.8744,124.1249,0,U,14372,999,9747,.11198E-3,.2463E-4,0
COSMOS 1536,1984-013A,2022-02-25T10:17:04.703424,15.06168827,.0011797,82.5248,108.7528,328.9051,31.1476,0,U,14699,999,7101,.8167E-4,.1225E-4,0
COSMOS 1544,1984-027A,2022-02-25T12:22:12.614592,15.30431812,.0014329,82.4800,99.7323,110.3697,249.9084,0,U,14819,999,7753,.15051E-3,.4475E-4,0
SL-14 R/B,1984-027B,2022-02-24T20:40:28.608672,14.83762709,.001915,82.5452,184.3807,161.5982,198.5930,0,U,14820,999,5005,.22646E-4,.212E-5,0
ERBS,1984-108B,2022-02-24T21:51:52.835616,15.58356710,.0011297,57.0016,260.9201,137.8942,222.2989,0,U,15354,999,6347,.22174E-3,.16689E-3,0
SL-8 R/B,1985-006B,2022-02-24T13:10:56.515872,14.36424741,.0018608,74.0441,90.2758,4.7875,103.7110,0,U,15483,999,94254,.16903E-4,.23E-6,0
COSMOS 1626,1985-009A,2022-02-24T20:35:13.571808,15.25934461,.0003124,82.4807,331.3105,128.5593,231.5925,0,U,15494,999,2944,.13689E-3,.3544E-4,0
SL-12 R/B(2),1985-042D,2022-02-24T22:10:49.890720,14.21318470,.0037777,71.1099,319.4669,259.0340,175.0439,0,U,15772,999,90494,.59267E-4,.82E-6,0
SL-14 R/B,1985-069B,2022-02-25T11:07:25.574880,14.84142549,.002039,82.5304,327.3826,27.8941,332.3363,0,U,15945,999,97527,.19573E-4,.188E-5,0
SL-3 R/B,1985-090B,2022-02-24T14:19:31.211328,16.01550342,.0005375,97.4338,284.8620,93.4893,266.7000,0,U,16111,999,1202,.43946E-3,.243068E-2,.27121E-4
SL-16 R/B,1985-097B,2022-02-24T21:31:48.969120,14.16268357,.0008489,71.0053,2.3610,327.8047,86.9967,0,U,16182,999,87853,.14763E-3,.245E-5,0
SL-14 R/B,1986-006B,2022-02-24T22:19:17.449248,14.84243374,.0019481,82.5260,203.3897,168.4595,307.6486,0,U,16496,999,95153,.23418E-4,.221E-5,0
COSMOS 1743,1986-034A,2022-02-25T02:56:43.010592,15.16648138,.001336,82.5505,111.4976,100.6681,317.9151,0,U,16719,999,95530,.75062E-4,.1503E-4,0
SL-14 R/B,1986-046B,2022-02-24T22:01:14.185056,14.83345187,.0025401,82.4831,29.6222,52.0766,308.2739,0,U,16792,999,90777,.24574E-4,.227E-5,0
SL-14 R/B,1986-055B,2022-02-25T03:13:12.129024,14.83331793,.0020472,82.5184,68.8306,153.7527,271.6586,0,U,16882,999,92194,.18711E-4,.178E-5,0
AJISAI (EGS),1986-061A,2022-02-25T11:15:24.211872,12.44495462,.0011379,50.0096,303.3795,136.4064,279.3766,0,U,16908,999,28490,.16376E-3,-.74E-6,0
COSMOS 1812,1987-003A,2022-02-24T18:44:28.953024,15.16739949,.0002547,82.5109,256.8052,340.5232,19.5903,0,U,17295,999,91821,.11043E-3,.2195E-4,0
SL-14 R/B,1987-024B,2022-02-25T09:49:16.277088,14.83865456,.0020722,82.5288,34.3725,90.3305,270.0285,0,U,17567,999,89065,.24519E-4,.229E-5,0
COSMOS 1833,1987-027A,2022-02-24T18:58:34.882464,14.12924550,.0027802,70.9220,183.6960,267.4030,92.3908,0,U,17589,999,80211,-.58928E-4,-.158E-5,0
SL-16 R/B,1987-027B,2022-02-24T16:28:57.882720,14.16814858,.0006593,71.0035,141.5391,227.8167,132.2397,0,U,17590,999,80658,.8416E-4,.121E-5,0
SL-14 R/B,1987-038B,2022-02-24T22:32:03.311808,14.83139347,.0019942,82.4993,242.1892,350.8038,9.2809,0,U,17912,999,86064,.19341E-4,.182E-5,0
COSMOS 1844,1987-041A,2022-02-24T23:02:54.686688,14.14139249,.002906,70.8956,261.4915,73.6456,286.7858,0,U,17973,999,79541,.15389E-3,.246E-5,0
SL-14 R/B,1987-055B,2022-02-24T18:20:21.529248,14.83391506,.0021081,82.4997,295.5012,194.1704,165.8922,0,U,18153,999,85129,.16664E-4,.161E-5,0
COSMOS 1867,1987-060A,2022-02-25T03:06:30.229056,14.31134392,.0020136,65.0101,112.0115,262.8286,97.0509,0,U,18187,999,80926,.52812E-5,-.86E-6,0
COSMOS 1892,1987-088A,2022-02-24T22:49:16.868352,15.18421136,.0016398,82.5009,21.9572,81.1990,279.1100,0,U,18421,999,87820,.10375E-3,.2174E-4,0
SL-14 R/B,1988-001B,2022-02-24T18:20:41.550720,14.83321920,.0020082,82.5158,139.1167,65.9414,51.8452,0,U,18749,999,82337,.1735E-4,.167E-5,0
COSMOS 1933,1988-020A,2022-02-24T21:43:25.742784,15.04236836,.0010795,82.5266,249.1684,202.8457,157.2291,0,U,18958,999,82788,.36275E-4,.533E-5,0
SL-3 R/B,1988-032B,2022-02-25T10:43:25.436352,15.03292327,.0034956,97.3903,60.3935,261.0244,98.7024,0,U,19046,999,83007,.24343E-4,.274E-5,0
SL-16 R/B,1988-039B,2022-02-25T09:17:43.309248,14.19235111,.0019629,71.0153,302.7797,78.6731,281.6598,0,U,19120,999,74959,-.41699E-4,-.136E-5,0
COSMOS 1953,1988-050A,2022-02-25T09:28:42.430656,15.06757474,.0013072,82.5203,169.7485,164.6514,195.5113,0,U,19210,999,83581,.14322E-3,.2162E-4,0
SL-8 R/B,1988-053B,2022-02-24T20:49:01.913664,14.37557081,.0019706,74.0491,305.6482,134.2453,297.9175,0,U,19257,999,76472,.41606E-4,.99E-6,0
COSMOS 1975,1988-093A,2022-02-24T16:34:12.013248,15.05642594,.0013497,82.5203,126.0763,212.4964,147.5434,0,U,19573,999,79631,.66167E-4,.985E-5,0
SL-14 R/B,1988-093B,2022-02-24T22:00:47.897856,14.83433846,.0020455,82.5354,342.6251,223.0525,205.4819,0,U,19574,999,78240,.1931E-4,.183E-5,0
SL-16 R/B,1988-102B,2022-02-24T21:58:56.012448,14.15818421,.0012039,71.0017,11.4918,95.7717,264.4779,0,U,19650,999,71827,.1261E-3,.2E-5,0
INTERCOSMOS 24,1989-080A,2022-02-25T11:29:02.927904,12.56278031,.120282,82.6080,340.2626,101.6099,272.2221,0,U,20261,999,48118,.96284E-4,.355E-5,0
SL-14 R/B,1989-080C,2022-02-25T08:36:03.177504,12.49025448,.1235699,82.5946,38.1090,308.2490,41.3511,0,U,20262,999,47569,.66526E-4,.22E-5,0
DELTA 2 R/B(1),1989-085B,2022-02-25T03:37:05.878272,15.31987795,.0086667,35.6410,80.2841,282.6407,76.4643,0,U,20303,999,76266,.27321E-3,.9705E-4,0
DELTA 1 R/B,1989-089B,2022-02-25T10:45:58.881024,14.48464141,.0073152,97.0980,116.0566,87.2245,273.7322,0,U,20323,999,70285,.34431E-4,.99E-6,0
ARIANE 40 R/B,1990-005H,2022-02-25T03:07:44.809536,14.38178232,.0009377,98.4972,125.1994,304.2270,55.8028,0,U,20443,999,68115,.32176E-4,.54E-6,0
DELTA 2 R/B(1),1990-008B,2022-02-24T21:35:06.357696,14.87826665,.027172,35.6218,210.2703,66.4042,296.4959,0,U,20453,999,70312,.17929E-3,.328E-4,0
COSMOS 2058,1990-010A,2022-02-25T10:39:01.542240,14.98522241,.0013616,82.4884,38.4977,278.8161,81.1520,0,U,20465,999,74196,.85889E-4,.1056E-4,0
SL-14 R/B,1990-010B,2022-02-25T10:33:22.147488,14.81481878,.0021902,82.5035,208.3899,106.2646,254.0979,0,U,20466,999,73128,.24798E-4,.219E-5,0
SL-14 R/B,1990-018B,2022-02-24T20:25:46.673760,14.80133628,.0016039,82.5259,158.1036,251.3205,248.4804,0,U,20511,999,70443,.19293E-4,.17E-5,0
HST,1990-037B,2022-02-24T20:04:04.524672,15.10065439,.0002306,28.4690,194.7267,263.0434,227.3444,0,U,20580,999,54944,.73963E-4,.1417E-4,0
SL-16 R/B,1990-046B,2022-02-25T12:04:01.854336,14.14684815,.0013569,71.0001,150.9161,14.6556,345.4957,0,U,20625,999,64027,.16002E-3,.261E-5,0
COSMOS 2084,1990-055A,2022-02-25T00:43:13.867968,14.92512513,.0105606,62.7920,265.5397,38.0211,322.8276,0,U,20663,999,71552,.66588E-4,.557E-5,0
